epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,51.9467,1.00766,0.74818,0.01348,0.99164,0.91667,0.97582,0.63673,1.32537,0.51492,0.02561,0.0009176,0.0009176,0.0009176
43,53.2011,0.99315,0.66808,0.01259,0.96298,0.91667,0.96923,0.66636,1.18164,0.4742,0.02231,0.0008912,0.0008912,0.0008912
44,54.3197,0.97658,0.7234,0.01221,0.93954,0.86343,0.96499,0.6187,1.34556,0.52343,0.02526,0.0008648,0.0008648,0.0008648
45,55.4412,0.96829,0.65969,0.01331,1,0.91064,0.98091,0.66436,1.23717,0.4737,0.02384,0.0008384,0.0008384,0.0008384
46,56.5542,0.94755,0.62133,0.01253,1,0.91426,0.98333,0.59758,1.41172,0.46207,0.0272,0.000812,0.000812,0.000812
47,57.6715,0.96595,0.62498,0.01225,0.97131,0.94046,0.98329,0.62098,1.37741,0.46106,0.02668,0.0007856,0.0007856,0.0007856
48,58.7889,1.02214,0.72355,0.01342,0.94275,0.91495,0.98312,0.66303,1.30329,0.41408,0.02521,0.0007592,0.0007592,0.0007592
49,60.0389,0.93765,0.59199,0.01238,0.97128,0.93964,0.99052,0.66685,1.23875,0.36836,0.02377,0.0007328,0.0007328,0.0007328
50,61.2592,0.94297,0.63946,0.01247,1,0.91008,0.98401,0.67515,1.22274,0.39528,0.02359,0.0007064,0.0007064,0.0007064
51,62.5052,0.92631,0.60302,0.01286,1,0.93572,0.99138,0.66153,1.27287,0.38121,0.02442,0.00068,0.00068,0.00068
52,63.6302,0.92708,0.54751,0.01166,0.97179,0.95713,0.99048,0.659,1.23218,0.39862,0.02372,0.0006536,0.0006536,0.0006536
53,64.943,0.94592,0.61559,0.01381,0.97787,0.91667,0.98892,0.68136,1.18173,0.38127,0.02277,0.0006272,0.0006272,0.0006272
54,66.0663,0.90765,0.61356,0.01199,0.88791,1,0.98453,0.6381,1.2322,0.41271,0.02345,0.0006008,0.0006008,0.0006008
55,67.1703,0.92406,0.5808,0.01208,0.94677,0.98834,0.99311,0.65523,1.28458,0.37981,0.02482,0.0005744,0.0005744,0.0005744
56,68.2826,0.88883,0.50004,0.01156,0.96259,0.94444,0.986,0.64976,1.28806,0.46101,0.02505,0.000548,0.000548,0.000548
57,69.3872,0.91159,0.52172,0.01165,0.97198,0.96357,0.99006,0.67992,1.16672,0.38975,0.02259,0.0005216,0.0005216,0.0005216
58,70.5267,0.81034,0.52613,0.01143,0.96815,0.94444,0.99052,0.68795,1.12385,0.39507,0.02163,0.0004952,0.0004952,0.0004952
59,71.8285,0.83577,0.50035,0.0112,0.99992,0.94444,0.98483,0.68466,1.18667,0.40264,0.02285,0.0004688,0.0004688,0.0004688
60,72.9623,0.86601,0.55977,0.01084,0.99417,0.88889,0.97913,0.69101,1.15066,0.46049,0.02232,0.0004424,0.0004424,0.0004424
61,74.0733,0.82336,0.51468,0.01109,0.94125,0.8901,0.97899,0.65419,1.2692,0.46263,0.02425,0.000416,0.000416,0.000416
